iter	Passed	Remaining
0	0	30
1	0	29
2	0	29
3	1	26
4	1	26
5	1	27
6	2	27
7	2	28
8	2	27
9	3	27
10	3	27
11	3	27
12	4	27
13	4	27
14	4	27
15	5	26
16	5	26
17	5	26
18	6	26
19	6	25
20	6	25
21	7	25
22	7	25
23	7	25
24	8	24
25	8	24
26	8	24
27	9	23
28	9	23
29	10	23
30	10	22
31	10	22
32	10	22
33	11	21
34	11	21
35	11	21
36	12	20
37	12	20
38	12	20
39	13	19
40	13	19
41	13	18
42	14	18
43	14	18
44	14	18
45	16	18
46	16	18
47	16	18
48	17	18
49	17	17
50	18	17
51	18	17
52	19	16
53	19	16
54	19	16
55	19	15
56	20	15
57	20	15
58	21	14
59	21	14
60	22	14
61	22	13
62	23	13
63	23	13
64	23	12
65	24	12
66	24	12
67	25	11
68	25	11
69	25	11
70	26	10
71	26	10
72	27	10
73	27	9
74	28	9
75	28	9
76	29	8
77	29	8
78	29	7
79	30	7
80	30	7
81	31	6
82	31	6
83	31	6
84	32	5
85	32	5
86	33	4
87	33	4
88	33	4
89	34	3
90	34	3
91	35	3
92	35	2
93	35	2
94	36	1
95	36	1
96	37	1
97	37	0
98	37	0
99	38	0
