iter	Passed	Remaining
0	57	57213
1	57	28863
2	58	19368
3	58	14609
4	59	11793
5	59	9872
6	60	8518
7	60	7491
8	60	6690
9	61	6052
10	61	5544
11	62	5112
12	62	4752
13	62	4435
14	63	4157
15	63	3913
16	64	3704
17	64	3519
18	64	3351
19	65	3201
20	65	3064
21	66	2951
22	66	2843
23	67	2740
24	68	2679
25	69	2594
26	69	2514
27	70	2436
28	70	2368
29	71	2296
30	71	2233
31	71	2172
32	72	2112
33	72	2061
34	72	2011
35	73	1963
36	73	1919
37	74	1874
38	74	1839
39	74	1798
40	75	1764
41	75	1731
42	77	1714
43	77	1682
44	78	1655
45	78	1628
46	79	1604
47	79	1578
48	80	1553
49	80	1528
50	80	1504
51	81	1486
52	81	1464
53	82	1443
54	82	1422
55	83	1406
56	83	1385
57	84	1377
58	85	1363
59	86	1348
60	86	1329
61	86	1313
62	87	1297
63	87	1283
64	88	1267
65	88	1251
66	88	1238
67	89	1224
68	89	1212
69	90	1201
70	90	1187
71	91	1174
72	91	1162
73	91	1148
74	92	1137
75	92	1125
76	93	1114
77	93	1104
78	93	1094
79	94	1085
80	94	1075
81	95	1063
82	95	1051
83	95	1042
84	96	1035
85	96	1026
86	97	1018
87	97	1010
88	97	1002
89	98	996
90	99	989
91	99	982
92	100	978
93	100	970
94	101	963
95	101	955
96	102	949
97	102	943
98	102	936
99	103	931
100	103	924
101	104	918
102	104	911
103	105	905
104	105	899
105	106	895
106	106	890
107	106	883
108	107	878
109	107	872
110	108	866
111	108	862
112	109	856
113	109	851
114	109	846
115	110	842
116	110	837
117	111	832
118	111	826
119	111	820
120	112	816
121	112	811
122	113	805
123	113	800
124	113	795
125	114	792
126	114	786
127	114	782
128	115	779
129	115	775
130	116	772
131	116	768
132	117	764
133	117	760
134	117	755
135	118	751
136	118	748
137	119	744
138	119	739
139	119	736
140	120	732
141	120	727
142	120	723
143	121	720
144	121	717
145	121	713
146	122	709
147	122	707
148	123	703
149	123	701
150	124	697
151	124	695
152	125	692
153	125	689
154	126	687
155	126	684
156	126	681
157	127	678
158	127	675
159	128	672
160	128	669
161	128	665
162	129	662
163	129	659
164	129	657
165	130	655
166	130	652
167	131	650
168	131	648
169	132	646
170	132	643
171	133	641
172	133	638
173	133	635
174	134	633
175	134	631
176	135	628
177	135	626
178	135	623
179	136	621
180	136	619
181	137	619
182	138	617
183	138	616
184	139	614
185	139	612
186	140	610
187	140	608
188	141	606
189	141	604
190	142	602
191	142	599
192	143	597
193	143	595
194	143	593
195	144	591
196	144	589
197	145	587
198	145	585
199	146	585
